gene_name	quintile	n	total	percent
COX6B1	Q5: 0.8-1.0	36	36	100
CREB3L3	Q5: 0.8-1.0	36	36	100
CTDP1	Q3: 0.4-0.6	1	36	2.7777777777777777
CTDP1	Q4: 0.6-0.8	4	36	11.11111111111111
CTDP1	Q5: 0.8-1.0	31	36	86.11111111111111
CYB5R3	Q3: 0.4-0.6	1	36	2.7777777777777777
CYB5R3	Q4: 0.6-0.8	2	36	5.555555555555555
CYB5R3	Q5: 0.8-1.0	33	36	91.66666666666666
CYP2A13	Q4: 0.6-0.8	1	36	2.7777777777777777
CYP2A13	Q5: 0.8-1.0	35	36	97.22222222222221
CYP2A7	Q4: 0.6-0.8	1	36	2.7777777777777777
CYP2A7	Q5: 0.8-1.0	35	36	97.22222222222221
CYP2B6	Q5: 0.8-1.0	36	36	100
CYP2C18	Q5: 0.8-1.0	36	36	100
CYP2C19	Q5: 0.8-1.0	36	36	100
CYP2C8	Q4: 0.6-0.8	1	36	2.7777777777777777
CYP2C8	Q5: 0.8-1.0	35	36	97.22222222222221
CYP2C9	Q5: 0.8-1.0	36	36	100
CYP2D6	Q4: 0.6-0.8	1	36	2.7777777777777777
CYP2D6	Q5: 0.8-1.0	35	36	97.22222222222221
CYP2E1	Q3: 0.4-0.6	1	36	2.7777777777777777
CYP2E1	Q4: 0.6-0.8	9	36	25
CYP2E1	Q5: 0.8-1.0	26	36	72.22222222222221
CYP2F1	Q5: 0.8-1.0	36	36	100
CYP2G1P	Q5: 0.8-1.0	36	36	100
CYP2J2	Q5: 0.8-1.0	36	36	100
CYP2R1	Q5: 0.8-1.0	36	36	100
CYP2S1	Q4: 0.6-0.8	2	36	5.555555555555555
CYP2S1	Q5: 0.8-1.0	34	36	94.44444444444444
CYP2U1	Q4: 0.6-0.8	7	36	19.444444444444446
CYP2U1	Q5: 0.8-1.0	29	36	80.55555555555556
CYP2W1	Q3: 0.4-0.6	4	36	11.11111111111111
CYP2W1	Q4: 0.6-0.8	17	36	47.22222222222222
CYP2W1	Q5: 0.8-1.0	15	36	41.66666666666667
CYP4F12	Q2: 0.2-0.4	1	36	2.7777777777777777
CYP4F12	Q3: 0.4-0.6	1	36	2.7777777777777777
CYP4F12	Q4: 0.6-0.8	3	36	8.333333333333332
CYP4F12	Q5: 0.8-1.0	31	36	86.11111111111111
CYP4F3	Q5: 0.8-1.0	36	36	100
D2HGDH	Q3: 0.4-0.6	1	36	2.7777777777777777
D2HGDH	Q4: 0.6-0.8	6	36	16.666666666666664
D2HGDH	Q5: 0.8-1.0	29	36	80.55555555555556
DAZL	Q4: 0.6-0.8	2	36	5.555555555555555
DAZL	Q5: 0.8-1.0	34	36	94.44444444444444
DCLRE1C	Q5: 0.8-1.0	36	36	100
DEAF1	Q4: 0.6-0.8	4	36	11.11111111111111
DEAF1	Q5: 0.8-1.0	32	36	88.88888888888889
DMPK	Q4: 0.6-0.8	1	36	2.7777777777777777
DMPK	Q5: 0.8-1.0	35	36	97.22222222222221
DNMT3L	Q3: 0.4-0.6	2	36	5.555555555555555
DNMT3L	Q4: 0.6-0.8	14	36	38.88888888888889
DNMT3L	Q5: 0.8-1.0	20	36	55.55555555555556
DOK7	Q3: 0.4-0.6	1	36	2.7777777777777777
DOK7	Q4: 0.6-0.8	7	36	19.444444444444446
DOK7	Q5: 0.8-1.0	28	36	77.77777777777779
DPY19L2	Q5: 0.8-1.0	36	36	100
DRD4	Q3: 0.4-0.6	2	36	5.555555555555555
DRD4	Q4: 0.6-0.8	10	36	27.77777777777778
DRD4	Q5: 0.8-1.0	24	36	66.66666666666666
DSPP	Q3: 0.4-0.6	3	36	8.333333333333332
DSPP	Q4: 0.6-0.8	14	36	38.88888888888889
DSPP	Q5: 0.8-1.0	19	36	52.77777777777778
ECHS1	Q4: 0.6-0.8	2	36	5.555555555555555
ECHS1	Q5: 0.8-1.0	34	36	94.44444444444444
EEF1A2	Q4: 0.6-0.8	4	36	11.11111111111111
EEF1A2	Q5: 0.8-1.0	32	36	88.88888888888889
EIF2B5	Q5: 0.8-1.0	35	35	100
ENO3	Q4: 0.6-0.8	1	36	2.7777777777777777
ENO3	Q5: 0.8-1.0	35	36	97.22222222222221
ESPN	Q5: 0.8-1.0	36	36	100
ESRRA	Q4: 0.6-0.8	3	36	8.333333333333332
ESRRA	Q5: 0.8-1.0	33	36	91.66666666666666
ETFB	Q4: 0.6-0.8	3	36	8.333333333333332
ETFB	Q5: 0.8-1.0	33	36	91.66666666666666
ETHE1	Q3: 0.4-0.6	7	36	19.444444444444446
ETHE1	Q4: 0.6-0.8	13	36	36.11111111111111
ETHE1	Q5: 0.8-1.0	16	36	44.44444444444444
EXTL2	Q5: 0.8-1.0	36	36	100
F7	Q3: 0.4-0.6	2	36	5.555555555555555
F7	Q4: 0.6-0.8	7	36	19.444444444444446
F7	Q5: 0.8-1.0	27	36	75
FAT1	Q4: 0.6-0.8	4	36	11.11111111111111
FAT1	Q5: 0.8-1.0	32	36	88.88888888888889
FCGR2B	Q2: 0.2-0.4	1	36	2.7777777777777777
FCGR2B	Q3: 0.4-0.6	7	36	19.444444444444446
FCGR2B	Q4: 0.6-0.8	14	36	38.88888888888889
FCGR2B	Q5: 0.8-1.0	14	36	38.88888888888889
FCGR3A	Q3: 0.4-0.6	1	36	2.7777777777777777
FCGR3A	Q4: 0.6-0.8	3	36	8.333333333333332
FCGR3A	Q5: 0.8-1.0	32	36	88.88888888888889
FGF3	Q4: 0.6-0.8	2	36	5.555555555555555
FGF3	Q5: 0.8-1.0	34	36	94.44444444444444
FGFRL1	Q5: 0.8-1.0	36	36	100
FKBP8	Q4: 0.6-0.8	7	36	19.444444444444446
FKBP8	Q5: 0.8-1.0	29	36	80.55555555555556
FLAD1	Q4: 0.6-0.8	4	36	11.11111111111111
FLAD1	Q5: 0.8-1.0	32	36	88.88888888888889
FLG	Q3: 0.4-0.6	1	36	2.7777777777777777
FLG	Q4: 0.6-0.8	7	36	19.444444444444446
FLG	Q5: 0.8-1.0	28	36	77.77777777777779
FLT4	Q3: 0.4-0.6	1	36	2.7777777777777777
FLT4	Q4: 0.6-0.8	6	36	16.666666666666664
FLT4	Q5: 0.8-1.0	29	36	80.55555555555556
FOXN1	Q4: 0.6-0.8	2	36	5.555555555555555
FOXN1	Q5: 0.8-1.0	34	36	94.44444444444444
FSCN2	Q3: 0.4-0.6	1	36	2.7777777777777777
FSCN2	Q4: 0.6-0.8	12	36	33.33333333333333
FSCN2	Q5: 0.8-1.0	23	36	63.888888888888886
FUT1	Q3: 0.4-0.6	1	36	2.7777777777777777
FUT1	Q4: 0.6-0.8	12	36	33.33333333333333
FUT1	Q5: 0.8-1.0	23	36	63.888888888888886
FXN	Q4: 0.6-0.8	1	36	2.7777777777777777
FXN	Q5: 0.8-1.0	35	36	97.22222222222221
G6PC3	Q4: 0.6-0.8	1	36	2.7777777777777777
G6PC3	Q5: 0.8-1.0	35	36	97.22222222222221
GAK	Q4: 0.6-0.8	3	36	8.333333333333332
GAK	Q5: 0.8-1.0	33	36	91.66666666666666
GALR1	Q3: 0.4-0.6	3	36	8.333333333333332
GALR1	Q4: 0.6-0.8	10	36	27.77777777777778
GALR1	Q5: 0.8-1.0	23	36	63.888888888888886
GALT	Q4: 0.6-0.8	4	36	11.11111111111111
GALT	Q5: 0.8-1.0	32	36	88.88888888888889
GCSH	Q5: 0.8-1.0	36	36	100
GDF3	Q3: 0.4-0.6	5	36	13.88888888888889
GDF3	Q4: 0.6-0.8	18	36	50
GDF3	Q5: 0.8-1.0	13	36	36.11111111111111
GIP	Q4: 0.6-0.8	1	36	2.7777777777777777
GIP	Q5: 0.8-1.0	35	36	97.22222222222221
GOLGA3	Q3: 0.4-0.6	2	36	5.555555555555555
GOLGA3	Q4: 0.6-0.8	10	36	27.77777777777778
GOLGA3	Q5: 0.8-1.0	24	36	66.66666666666666
GP1BA	Q4: 0.6-0.8	3	36	8.333333333333332
GP1BA	Q5: 0.8-1.0	33	36	91.66666666666666
GP6	Q4: 0.6-0.8	9	36	25
GP6	Q5: 0.8-1.0	27	36	75
GPI	Q5: 0.8-1.0	36	36	100
GPIHBP1	Q2: 0.2-0.4	2	35	5.714285714285714
GPIHBP1	Q3: 0.4-0.6	10	35	28.57142857142857
GPIHBP1	Q4: 0.6-0.8	15	35	42.857142857142854
GPIHBP1	Q5: 0.8-1.0	8	35	22.857142857142858
GRIN1	Q3: 0.4-0.6	3	36	8.333333333333332
GRIN1	Q4: 0.6-0.8	17	36	47.22222222222222
GRIN1	Q5: 0.8-1.0	16	36	44.44444444444444
GUSB	Q5: 0.8-1.0	36	36	100
H19	Q4: 0.6-0.8	1	36	2.7777777777777777
H19	Q5: 0.8-1.0	35	36	97.22222222222221
HBG1	Q4: 0.6-0.8	1	36	2.7777777777777777
HBG1	Q5: 0.8-1.0	35	36	97.22222222222221
HBM	Q3: 0.4-0.6	1	35	2.857142857142857
HBM	Q4: 0.6-0.8	6	35	17.142857142857142
HBM	Q5: 0.8-1.0	28	35	80
HCN2	Q4: 0.6-0.8	7	36	19.444444444444446
HCN2	Q5: 0.8-1.0	29	36	80.55555555555556
HCN3	Q5: 0.8-1.0	36	36	100
HLA-A	Q5: 0.8-1.0	36	36	100
HLA-B	Q5: 0.8-1.0	36	36	100
HLA-C	Q5: 0.8-1.0	36	36	100
HLA-DMA	Q5: 0.8-1.0	36	36	100
HLA-DMB	Q4: 0.6-0.8	2	36	5.555555555555555
HLA-DMB	Q5: 0.8-1.0	34	36	94.44444444444444
HLA-DOA	Q5: 0.8-1.0	36	36	100
HLA-DPA1	Q4: 0.6-0.8	1	36	2.7777777777777777
HLA-DPA1	Q5: 0.8-1.0	35	36	97.22222222222221
HLA-DPB2	Q5: 0.8-1.0	36	36	100
HLA-DQA1	Q5: 0.8-1.0	36	36	100
HLA-DQA2	Q5: 0.8-1.0	36	36	100
HLA-DQB1	Q5: 0.8-1.0	22	22	100
HLA-DQB2	Q5: 0.8-1.0	36	36	100
HLA-DRA	Q4: 0.6-0.8	4	36	11.11111111111111
HLA-DRA	Q5: 0.8-1.0	32	36	88.88888888888889
HLA-DRB5	Q5: 0.8-1.0	36	36	100
HLA-E	Q4: 0.6-0.8	1	36	2.7777777777777777
HLA-E	Q5: 0.8-1.0	35	36	97.22222222222221
HLA-F	Q4: 0.6-0.8	1	36	2.7777777777777777
HLA-F	Q5: 0.8-1.0	35	36	97.22222222222221
HLA-G	Q4: 0.6-0.8	1	36	2.7777777777777777
HLA-G	Q5: 0.8-1.0	35	36	97.22222222222221
HLA-J	Q5: 0.8-1.0	36	36	100
HLA-L	Q5: 0.8-1.0	36	36	100
HLA-N	Q5: 0.8-1.0	36	36	100
HLA-S	Q5: 0.8-1.0	36	36	100
HMGCL	Q5: 0.8-1.0	36	36	100
HMX1	Q5: 0.8-1.0	36	36	100
HNF1A	Q4: 0.6-0.8	4	36	11.11111111111111
HNF1A	Q5: 0.8-1.0	32	36	88.88888888888889
HOXB8	Q4: 0.6-0.8	1	36	2.7777777777777777
HOXB8	Q5: 0.8-1.0	35	36	97.22222222222221
HPD	Q4: 0.6-0.8	1	35	2.857142857142857
HPD	Q5: 0.8-1.0	34	35	97.14285714285714
HSD11B2	Q4: 0.6-0.8	5	36	13.88888888888889
HSD11B2	Q5: 0.8-1.0	31	36	86.11111111111111
HYAL1	Q2: 0.2-0.4	4	36	11.11111111111111
HYAL1	Q3: 0.4-0.6	8	36	22.22222222222222
HYAL1	Q4: 0.6-0.8	17	36	47.22222222222222
HYAL1	Q5: 0.8-1.0	7	36	19.444444444444446
HYDIN	Q5: 0.8-1.0	35	35	100
IFITM3	Q3: 0.4-0.6	2	36	5.555555555555555
IFITM3	Q4: 0.6-0.8	10	36	27.77777777777778
IFITM3	Q5: 0.8-1.0	24	36	66.66666666666666
IFNL3	Q5: 0.8-1.0	36	36	100
IKBKB	Q5: 0.8-1.0	36	36	100
IMPA1	Q4: 0.6-0.8	10	36	27.77777777777778
IMPA1	Q5: 0.8-1.0	26	36	72.22222222222221
INPP5E	Q3: 0.4-0.6	6	36	16.666666666666664
INPP5E	Q4: 0.6-0.8	14	36	38.88888888888889
INPP5E	Q5: 0.8-1.0	16	36	44.44444444444444
INSL3	Q4: 0.6-0.8	2	36	5.555555555555555
INSL3	Q5: 0.8-1.0	34	36	94.44444444444444
JAG2	Q3: 0.4-0.6	1	35	2.857142857142857
JAG2	Q4: 0.6-0.8	7	35	20
JAG2	Q5: 0.8-1.0	27	35	77.14285714285715
KCNE1	Q5: 0.8-1.0	36	36	100
KCNK1	Q5: 0.8-1.0	36	36	100
KCNK10	Q5: 0.8-1.0	36	36	100
KCNK12	Q5: 0.8-1.0	36	36	100
KCNK13	Q5: 0.8-1.0	36	36	100
KCNK15	Q4: 0.6-0.8	1	36	2.7777777777777777
KCNK15	Q5: 0.8-1.0	35	36	97.22222222222221
KCNK17	Q4: 0.6-0.8	2	36	5.555555555555555
KCNK17	Q5: 0.8-1.0	34	36	94.44444444444444
KCNK18	Q5: 0.8-1.0	36	36	100
KCNK2	Q4: 0.6-0.8	2	35	5.714285714285714
KCNK2	Q5: 0.8-1.0	33	35	94.28571428571428
KCNK3	Q5: 0.8-1.0	36	36	100
KCNK4	Q5: 0.8-1.0	36	36	100
KCNK5	Q5: 0.8-1.0	36	36	100
KCNK6	Q5: 0.8-1.0	36	36	100
KCNK7	Q5: 0.8-1.0	36	36	100
KCNK9	Q5: 0.8-1.0	36	36	100
KCNV2	Q4: 0.6-0.8	4	36	11.11111111111111
KCNV2	Q5: 0.8-1.0	32	36	88.88888888888889
KDM2B	Q4: 0.6-0.8	1	36	2.7777777777777777
KDM2B	Q5: 0.8-1.0	35	36	97.22222222222221
KIR3DL2	Q2: 0.2-0.4	1	36	2.7777777777777777
KIR3DL2	Q3: 0.4-0.6	2	36	5.555555555555555
KIR3DL2	Q4: 0.6-0.8	6	36	16.666666666666664
KIR3DL2	Q5: 0.8-1.0	27	36	75
KISS1	Q4: 0.6-0.8	2	36	5.555555555555555
KISS1	Q5: 0.8-1.0	34	36	94.44444444444444
KISS1R	Q4: 0.6-0.8	3	34	8.823529411764707
KISS1R	Q5: 0.8-1.0	31	34	91.17647058823529
KLF11	Q4: 0.6-0.8	7	36	19.444444444444446
KLF11	Q5: 0.8-1.0	29	36	80.55555555555556
KLF14	Q5: 0.8-1.0	36	36	100
KLK4	Q3: 0.4-0.6	1	36	2.7777777777777777
KLK4	Q4: 0.6-0.8	13	36	36.11111111111111
KLK4	Q5: 0.8-1.0	22	36	61.111111111111114
KMT2C	Q5: 0.8-1.0	36	36	100
KNG1	Q4: 0.6-0.8	1	36	2.7777777777777777
KNG1	Q5: 0.8-1.0	35	36	97.22222222222221
KRTAP1-1	Q3: 0.4-0.6	1	35	2.857142857142857
KRTAP1-1	Q4: 0.6-0.8	16	35	45.714285714285715
KRTAP1-1	Q5: 0.8-1.0	18	35	51.42857142857142
LAMB1	Q4: 0.6-0.8	1	36	2.7777777777777777
LAMB1	Q5: 0.8-1.0	35	36	97.22222222222221
LBR	Q5: 0.8-1.0	36	36	100
LIPN	Q4: 0.6-0.8	5	36	13.88888888888889
LIPN	Q5: 0.8-1.0	31	36	86.11111111111111
LIX1	Q5: 0.8-1.0	36	36	100
LMF1	Q4: 0.6-0.8	9	35	25.71428571428571
LMF1	Q5: 0.8-1.0	26	35	74.28571428571429
LMNB2	Q3: 0.4-0.6	5	35	14.285714285714285
LMNB2	Q4: 0.6-0.8	17	35	48.57142857142857
LMNB2	Q5: 0.8-1.0	13	35	37.142857142857146
LRIG2	Q5: 0.8-1.0	36	36	100
LZTFL1	Q4: 0.6-0.8	3	36	8.333333333333332
LZTFL1	Q5: 0.8-1.0	33	36	91.66666666666666
MAFA	Q4: 0.6-0.8	1	36	2.7777777777777777
MAFA	Q5: 0.8-1.0	35	36	97.22222222222221
MAN1B1	Q4: 0.6-0.8	2	36	5.555555555555555
MAN1B1	Q5: 0.8-1.0	34	36	94.44444444444444
MARVELD2	Q4: 0.6-0.8	5	36	13.88888888888889
MARVELD2	Q5: 0.8-1.0	31	36	86.11111111111111
MASP2	Q4: 0.6-0.8	3	36	8.333333333333332
MASP2	Q5: 0.8-1.0	33	36	91.66666666666666
MBOAT7	Q4: 0.6-0.8	4	36	11.11111111111111
MBOAT7	Q5: 0.8-1.0	32	36	88.88888888888889
MC1R	Q4: 0.6-0.8	3	35	8.571428571428571
MC1R	Q5: 0.8-1.0	32	35	91.42857142857143
MDK	Q5: 0.8-1.0	36	36	100
MICB	Q4: 0.6-0.8	4	36	11.11111111111111
MICB	Q5: 0.8-1.0	32	36	88.88888888888889
MLC1	Q4: 0.6-0.8	2	36	5.555555555555555
MLC1	Q5: 0.8-1.0	34	36	94.44444444444444
MLPH	Q3: 0.4-0.6	2	36	5.555555555555555
MLPH	Q4: 0.6-0.8	13	36	36.11111111111111
MLPH	Q5: 0.8-1.0	21	36	58.333333333333336
MOGS	Q4: 0.6-0.8	3	36	8.333333333333332
MOGS	Q5: 0.8-1.0	33	36	91.66666666666666
MPG	Q2: 0.2-0.4	2	35	5.714285714285714
MPG	Q3: 0.4-0.6	9	35	25.71428571428571
MPG	Q4: 0.6-0.8	13	35	37.142857142857146
MPG	Q5: 0.8-1.0	11	35	31.428571428571427
MST1R	Q4: 0.6-0.8	4	36	11.11111111111111
MST1R	Q5: 0.8-1.0	32	36	88.88888888888889
MUC1	Q2: 0.2-0.4	5	35	14.285714285714285
MUC1	Q3: 0.4-0.6	12	35	34.285714285714285
MUC1	Q4: 0.6-0.8	16	35	45.714285714285715
MUC1	Q5: 0.8-1.0	2	35	5.714285714285714
MUC12	Q3: 0.4-0.6	6	34	17.647058823529413
MUC12	Q4: 0.6-0.8	9	34	26.47058823529412
MUC12	Q5: 0.8-1.0	19	34	55.88235294117647
MUC13	Q4: 0.6-0.8	3	36	8.333333333333332
MUC13	Q5: 0.8-1.0	33	36	91.66666666666666
MUC15	Q4: 0.6-0.8	6	36	16.666666666666664
MUC15	Q5: 0.8-1.0	30	36	83.33333333333334
MUC16	Q4: 0.6-0.8	1	35	2.857142857142857
MUC16	Q5: 0.8-1.0	34	35	97.14285714285714
MUC19	Q4: 0.6-0.8	1	36	2.7777777777777777
MUC19	Q5: 0.8-1.0	35	36	97.22222222222221
MUC2	Q3: 0.4-0.6	2	35	5.714285714285714
MUC2	Q4: 0.6-0.8	18	35	51.42857142857142
MUC2	Q5: 0.8-1.0	15	35	42.857142857142854
MUC20	Q3: 0.4-0.6	7	25	28.000000000000004
MUC20	Q4: 0.6-0.8	5	25	20
MUC20	Q5: 0.8-1.0	13	25	52
MUC21	Q5: 0.8-1.0	36	36	100
MUC22	Q4: 0.6-0.8	2	36	5.555555555555555
MUC22	Q5: 0.8-1.0	34	36	94.44444444444444
MUC4	Q4: 0.6-0.8	11	36	30.555555555555557
MUC4	Q5: 0.8-1.0	25	36	69.44444444444444
MUC5AC	Q3: 0.4-0.6	1	36	2.7777777777777777
MUC5AC	Q4: 0.6-0.8	4	36	11.11111111111111
MUC5AC	Q5: 0.8-1.0	31	36	86.11111111111111
MUC5B	Q5: 0.8-1.0	36	36	100
MUC6	Q2: 0.2-0.4	1	36	2.7777777777777777
MUC6	Q3: 0.4-0.6	7	36	19.444444444444446
MUC6	Q4: 0.6-0.8	12	36	33.33333333333333
MUC6	Q5: 0.8-1.0	16	36	44.44444444444444
MUC7	Q5: 0.8-1.0	36	36	100
MUSK	Q4: 0.6-0.8	5	36	13.88888888888889
MUSK	Q5: 0.8-1.0	31	36	86.11111111111111
MYO9B	Q4: 0.6-0.8	1	36	2.7777777777777777
MYO9B	Q5: 0.8-1.0	35	36	97.22222222222221
MYOT	Q4: 0.6-0.8	2	36	5.555555555555555
MYOT	Q5: 0.8-1.0	34	36	94.44444444444444
MYT1	Q4: 0.6-0.8	8	36	22.22222222222222
MYT1	Q5: 0.8-1.0	28	36	77.77777777777779
NACA	Q4: 0.6-0.8	1	36	2.7777777777777777
NACA	Q5: 0.8-1.0	35	36	97.22222222222221
NDUFA6	Q5: 0.8-1.0	36	36	100
NDUFAF1	Q4: 0.6-0.8	2	36	5.555555555555555
NDUFAF1	Q5: 0.8-1.0	34	36	94.44444444444444
NDUFB1	Q4: 0.6-0.8	2	36	5.555555555555555
NDUFB1	Q5: 0.8-1.0	34	36	94.44444444444444
NDUFV3	Q4: 0.6-0.8	5	36	13.88888888888889
NDUFV3	Q5: 0.8-1.0	31	36	86.11111111111111
NLRP12	Q4: 0.6-0.8	2	36	5.555555555555555
NLRP12	Q5: 0.8-1.0	34	36	94.44444444444444
NLRP2	Q4: 0.6-0.8	4	36	11.11111111111111
NLRP2	Q5: 0.8-1.0	32	36	88.88888888888889
NOD1	Q3: 0.4-0.6	3	36	8.333333333333332
NOD1	Q4: 0.6-0.8	2	36	5.555555555555555
NOD1	Q5: 0.8-1.0	31	36	86.11111111111111
NPM1	Q4: 0.6-0.8	1	36	2.7777777777777777
NPM1	Q5: 0.8-1.0	35	36	97.22222222222221
NPPA	Q4: 0.6-0.8	1	36	2.7777777777777777
NPPA	Q5: 0.8-1.0	35	36	97.22222222222221
OPRL1	Q3: 0.4-0.6	4	36	11.11111111111111
OPRL1	Q4: 0.6-0.8	7	36	19.444444444444446
OPRL1	Q5: 0.8-1.0	25	36	69.44444444444444
ORC6	Q4: 0.6-0.8	21	36	58.333333333333336
ORC6	Q5: 0.8-1.0	15	36	41.66666666666667
P2RX2	Q4: 0.6-0.8	8	36	22.22222222222222
P2RX2	Q5: 0.8-1.0	28	36	77.77777777777779
P2RX5	Q3: 0.4-0.6	5	35	14.285714285714285
P2RX5	Q4: 0.6-0.8	17	35	48.57142857142857
P2RX5	Q5: 0.8-1.0	13	35	37.142857142857146
PAPSS2	Q5: 0.8-1.0	36	36	100
PCBP1	Q4: 0.6-0.8	3	36	8.333333333333332
PCBP1	Q5: 0.8-1.0	33	36	91.66666666666666
PCCB	Q5: 0.8-1.0	36	36	100
PCDHA10	Q5: 0.8-1.0	36	36	100
PCMT1	Q4: 0.6-0.8	1	36	2.7777777777777777
PCMT1	Q5: 0.8-1.0	35	36	97.22222222222221
PDE6B	Q4: 0.6-0.8	4	36	11.11111111111111
PDE6B	Q5: 0.8-1.0	32	36	88.88888888888889
PDLIM3	Q5: 0.8-1.0	36	36	100
PDPK1	Q5: 0.8-1.0	36	36	100
PDSS1	Q5: 0.8-1.0	36	36	100
PEX5	Q4: 0.6-0.8	5	36	13.88888888888889
PEX5	Q5: 0.8-1.0	31	36	86.11111111111111
PGAM5	Q3: 0.4-0.6	4	36	11.11111111111111
PGAM5	Q4: 0.6-0.8	8	36	22.22222222222222
PGAM5	Q5: 0.8-1.0	24	36	66.66666666666666
PHKG2	Q3: 0.4-0.6	21	36	58.333333333333336
PHKG2	Q4: 0.6-0.8	15	36	41.66666666666667
PIGV	Q5: 0.8-1.0	36	36	100
PKD1	Q4: 0.6-0.8	1	33	3.0303030303030303
PKD1	Q5: 0.8-1.0	32	33	96.96969696969697
PKN3	Q4: 0.6-0.8	2	36	5.555555555555555
PKN3	Q5: 0.8-1.0	34	36	94.44444444444444
PLTP	Q4: 0.6-0.8	2	36	5.555555555555555
PLTP	Q5: 0.8-1.0	34	36	94.44444444444444
PNKP	Q5: 0.8-1.0	36	36	100
PPIA	Q5: 0.8-1.0	36	36	100
PPIP5K1	Q5: 0.8-1.0	36	36	100
PRG4	Q5: 0.8-1.0	36	36	100
PRKCG	Q5: 0.8-1.0	36	36	100
